IDREF,Year_Reference,languages_Chinese,languages_English,languages_French,languages_Hindi,languages_Spanish,skill_SocialSciences,skill_Art,skill_Technology,missing_language,missing_skill,grade,exam_score,ProfileType,school,major,citizen_cntry,previous_degree,ethnicity,previous_state,male_gender,international,year_birth
47,2011,0,0,0,0,0,0,0,0,1,1,3.7260001,750,Others,CORNELLUNIVERSITY,Economics,USA,BachelorofArts,AsianorPacificIslander,Delaware,1,0,1984
48,2011,0,0,0,0,0,0,0,0,1,1,3.2290001,680,Unknown,YAROSLAVLSTATEUNIVERSITY,PoliticalScience,Russia,BachelorofArts,WhiteNon-hispanic,ForeignCountry,1,1,1975
49,2012,0,0,0,0,0,0,0,0,1,1,3.2679999,0,Others,JOHNSHOPKINSUNIVERSITY,Management,USA,BachelorofScience,,NewYork,1,0,1984
50,2011,0,0,0,0,0,0,0,0,1,1,3.497,690,Client_oriented,UNIVERSITYCHICAGO,Economics,USA,BachelorofArts,AsianorPacificIslander,Illinois,0,0,1980
51,2014,0,0,0,0,0,0,0,0,1,1,3.48,720,Others,NEWYORKUNIVERSITY,Economics,USA,BachelorofArts,WhiteNon-hispanic,Connecticut,0,0,1986
52,2011,0,0,0,0,0,0,0,0,1,1,3.506,700,Unknown,UNIVERSITYCALIFORNIASANTABARBARA,Other,USA,BachelorofArts,,California,0,0,1980
53,2012,0,0,0,0,0,0,0,0,1,1,3.7509999,0,Unknown,UNIVERSITYSANDIEGO,OtherBusiness,USA,BachelorofBusinessAdministration,WhiteNon-hispanic,Colorado,1,0,1985
54,2012,0,0,0,0,0,0,0,0,1,1,3.8239999,0,Investments,HARVARDUNIVINSTINTRNT'LDEV,History,USA,BachelorofArts,WhiteNon-hispanic,NewYork,1,0,1983
55,2012,0,0,0,0,0,0,0,0,1,1,,,Unknown,,,,,WhiteNon-hispanic,,1,1,
56,2011,0,0,0,0,0,0,0,0,1,1,3.128,680,Production,UNIVERSITYVIRGINIA,Other,USA,BachelorofArts,BlackNon-hispanic,NewYork,1,0,1977
57,2012,0,0,0,0,0,0,0,0,1,1,3.8410001,750,Others,EMORYUNIVERSITY,Finance,USA,BachelorofBusinessAdministration,WhiteNon-hispanic,NewJersey,1,0,1984
58,2011,0,0,0,0,0,0,0,0,1,1,3.2320001,720,Others,UNIVERSITYMARYLANDCOLLEGEPARK,Marketing,USA,BachelorofScience,WhiteNon-hispanic,NewYork,0,0,1981
59,2012,0,0,0,0,0,0,0,0,1,1,3.6889999,770,Investments,YALEUNIVERSITY,Engineering,USA,BachelorofScience,WhiteNon-hispanic,NewYork,1,0,1986
60,2012,0,0,0,0,0,0,0,0,1,0,3.388,0,Investments,UNIVERSITYPENNSYLVANIA,Economics,USA,BachelorofArts,HispanicBlackorAA,NewYork,0,0,1981
61,2012,0,1,0,0,0,0,0,0,0,1,3.8789999,760,Others,RUTGERSSTATEUNIVCOLLENGRG,Engineering,USA,BachelorofScience,,NewJersey,1,0,1974
62,2012,0,0,0,0,0,0,0,0,1,1,3.0409999,670,Investments,WASHINGTONLEEUNIVERSITY,Economics,USA,BachelorofArts,WhiteNon-hispanic,Arkansas,0,0,1986
63,2012,0,1,0,0,0,1,0,0,0,0,4,760,Investments,UNIVERSITYIOWA,Accounting,USA,BachelorofBusinessAdministration,WhiteNon-hispanic,NewYork,1,0,1986
64,2011,0,1,1,0,0,0,0,0,0,0,3.5380001,690,Unknown,WESLEYANUNIVERSITY,Government,USA,BachelorofArts,WhiteNon-hispanic,NewYork,1,0,1982
65,2012,0,0,0,0,0,0,0,0,1,1,3.829,0,Others,UNIVERSITYPENNSYLVANIA,Economics,USA,BachelorofScience,,California,0,0,1985
66,2011,0,0,0,0,0,0,0,0,1,1,3.55,710,Others,BOSTONCOLLEGE,Sociology,USA,BachelorofArts,WhiteNon-hispanic,NewYork,1,0,1979
67,2012,0,0,0,0,0,0,0,0,1,1,3.25,0,Unknown,LEHIGHUNIVERSITY,Finance,USA,BachelorofScience,BlackNon-hispanic,NewJersey,1,0,1985
68,2011,0,1,0,0,0,0,1,0,0,0,3.224,660,Unknown,BROWNUNIVERSITY,OtherHumanities,USA,BachelorofArts,,NewYork,0,0,1985
69,2011,0,0,0,0,0,0,0,0,1,1,3.5239999,700,Others,UNIVERSITYVIRGINIA,IndustrialRelations,USA,BachelorofArts,Hispanic,NewYork,1,0,1981
70,2012,0,0,1,0,0,0,0,0,0,0,3.4059999,770,Unknown,PRINCETONUNIVERSITY,Economics,USA,BachelorofArts,AsianorPacificIslander,NewYork,0,0,1985
71,2012,0,0,0,0,0,0,0,0,1,1,3.4100001,690,Client_oriented,BOSTONCOLLEGE,Finance,USA,BachelorofScience,,NewYork,1,0,1984
72,2011,0,0,0,0,0,1,0,0,1,0,3.727,660,Investments,DARTMOUTHCOLLEGE,Economics,USA,BachelorofArts,,NewYork,1,0,1984
73,2011,0,0,0,0,0,0,0,0,1,1,3.4230001,750,Others,PRINCETONUNIVERSITY,PoliticalScience,USA,BachelorofArts,,NewYork,0,0,1982
74,2011,0,0,0,0,0,0,0,0,1,1,3.26,680,Others,UNIVCALIFORNIALOSANGELES,CommunicationAndJournalism,USA,BachelorofArts,,Tennessee,0,0,1982
75,2011,0,0,0,0,0,0,0,0,1,1,3.4319999,590,Production,BROWNUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,0,0,1983
76,2011,0,0,0,0,0,0,0,0,1,1,3.395,690,Others,GEORGETOWNUNIV,Government,USA,BachelorofArts,,DistrictofColumbia,0,0,1982
77,2011,0,1,0,0,0,0,0,0,0,0,3.668,740,Investments,CARNEGIE-MELLONUNIVERSITY,Finance,USA,BachelorofScience,,Ohio,1,0,1983
78,2011,0,0,0,0,1,0,0,0,0,1,2.977,740,Investments,DUKEUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1978
79,2011,0,0,0,0,0,0,0,0,1,1,3.128,690,Unknown,MICHIGANSTATEUNIVERSITY,Finance,Pakistan,BachelorofArts,,NewJersey,1,1,1976
80,2011,0,0,0,0,0,0,0,0,1,1,3.3069999,770,Investments,STEVENSINSTITUTETECHNOLOGY,Engineering,USA,BachelorofEngineering/ExecProgram,,NewYork,1,0,1979
81,2011,0,0,0,0,0,0,0,0,1,1,3.3900001,650,Production,BUCKNELLUNIVERSITY,Management,USA,BachelorofScience,,NewJersey,0,0,1982
82,2011,0,0,0,0,0,0,0,0,1,1,3.75,740,Investments,TEXASAMUNIVERSITY,Accounting,USA,BachelorofBusinessAdministration,,Texas,0,0,1982
83,2011,0,0,0,0,0,0,0,0,1,1,3.4449999,710,Investments,UMETROPOLITANA/VENEZUAUA,ComputerScience,Venezuela,BachelorofScience,,Florida,1,1,1983
84,2011,0,0,0,0,0,0,0,0,1,1,3.4649999,760,Unknown,BROWNUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1982
85,2011,0,0,0,1,0,0,0,0,0,0,3.2360001,630,Production,SUNYCOLLEGEBUFFALO/ELMWOOD,OtherSocial,USA,BachelorofArts,,Illinois,0,0,1984
86,2011,0,0,0,0,0,0,0,0,1,1,3.3599999,750,Investments,CARNEGIE-MELLONUNIVERSITY,OtherBusiness,USA,BachelorofScience,,NewYork,1,0,1983
87,2011,0,0,0,0,0,0,0,0,1,1,3.273,650,Unknown,FACHHCCHSCHULEWIRTSCHAFT,OtherBusiness,Germany,,,ForeignCountry,1,1,1980
88,2011,0,1,0,0,0,0,0,0,0,0,3.1619999,700,Others,HITOTSUBASHIUNIV,Economics,Japan,BachelorofEngineering/ExecProgram,,ForeignCountry,1,1,1976
89,2012,0,0,0,0,0,0,0,0,1,1,3.0880001,690,Others,SMITHCOLLEGE,Government,USA,BachelorofArts,,NewYork,0,0,1980
90,2011,0,0,0,0,0,0,0,0,1,1,3.207,710,Production,UNIVERSITYWISCONSIN,Finance,USA,BachelorofArts,,NewYork,1,0,1984
91,2011,0,0,0,0,0,0,0,0,1,1,3.224,640,Unknown,SUNYCENTERSTONYBROOK,Management,USA,BachelorofScience,,NewYork,0,0,1980
92,2011,0,0,0,0,0,0,0,0,1,1,3.575,720,Client_oriented,BRIGHAMYOUNGUNIVERSITY,CommunicationAndJournalism,USA,BachelorofArts,,California,1,0,1981
93,2011,0,0,0,0,0,0,0,0,1,1,3.1849999,710,Others,SYRACUSEUNIVERSITY,Marketing,USA,BachelorofScience,,NewYork,1,0,1979
94,2011,0,0,0,0,0,0,0,0,1,1,3.1949999,720,Others,UNIVCALIFORNIALOSANGELES,BiologicalSciences,USA,BachelorofScience,,California,0,0,1982
95,2011,0,1,0,0,1,1,0,0,0,1,3.642,710,Unknown,UCATOLICA/ARGENTINA,Economics,Argentina,BachelorofArts,,ForeignCountry,1,1,1978
96,2011,0,0,0,0,0,0,0,0,1,1,3.5880001,710,Others,TRINITYCOLLEGE,History,USA,BachelorofArts,,NewYork,1,0,1979
97,2011,0,0,0,0,0,0,0,0,1,1,3.4860001,690,Others,JOHNSHOPKINSUNIVERSITY,PoliticalScience,USA,BachelorofArts,,NewYork,0,0,1982
98,2011,0,0,0,0,0,0,0,0,1,1,3.507,720,Investments,PENNSYLVANIASTATEUNIVERSITY,OtherScience,USA,BachelorofScience,,Pennsylvania,1,0,1982
99,2011,0,0,0,0,0,0,0,0,1,1,3.4000001,580,Production,TEMPLEUNIVERSITY,Marketing,USA,BachelorofBusinessAdministration,,Minnesota,1,0,1980
100,2011,0,0,0,0,0,0,0,0,1,1,3.707,740,Client_oriented,UBOMBAY,Engineering,India,BachelorofEngineering/ExecProgram,,Connecticut,1,1,1979
101,2011,0,1,0,0,1,1,0,0,0,0,3.543,760,Client_oriented,UDELOSANDES,Management,Colombia,BachelorofScience,,ForeignCountry,1,1,1980
102,2011,0,0,0,0,0,0,0,0,1,1,3.345,700,Investments,UDELOSANDES,Engineering,Colombia,BachelorofScience,,NewYork,1,1,1981
103,2011,0,0,0,0,0,0,0,0,1,1,3.74,730,Production,DARTMOUTHCOLLEGE,Economics,USA,BachelorofArts,,NewYork,1,0,1982
104,2011,0,0,0,0,0,0,0,0,1,1,3.602,720,Investments,,Mathematics,Canada,,,ForeignCountry,1,1,1981
105,2012,0,0,0,0,0,0,0,0,1,1,3.2449999,740,Unknown,WESLEYANUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1983
106,2011,1,1,0,0,0,0,0,1,0,0,3.016,700,Investments,CARNEGIE-MELLONUNIVERSITY,,HongKong,BachelorofScience,,ForeignCountry,1,1,1979
107,2011,0,0,0,0,0,0,0,0,1,1,3.355,620,Production,LAKEFORESTCOLLEGE,IndustrialRelations,USA,BachelorofArts,,RhodeIsland,0,0,1981
108,2011,0,1,0,0,1,0,0,0,0,1,3.385,650,Others,BABSONCOLLEGE,OtherBusiness,Brazil,BachelorofScience,,ForeignCountry,1,1,1980
109,2011,0,1,1,0,0,1,0,0,0,0,3.424,690,Client_oriented,CARLETONCOLLEGE,History,USA,BachelorofArts,,NewYork,1,0,1979
110,2012,0,0,0,0,1,0,0,0,0,0,3.3629999,730,Client_oriented,STANFORDUNIVERSITY,PoliticalScience,USA,BachelorofArts,,NewYork,1,0,1980
111,2011,0,0,0,0,0,0,0,0,1,1,3.1800001,670,Investments,WESLEYANUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1981
112,2011,0,0,0,0,0,0,0,0,1,1,3.7049999,760,Others,UNIVCALIFORNIALOSANGELES,Economics,USA,BachelorofArts,,NewYork,0,0,1984
113,2011,0,0,0,0,0,0,0,0,1,1,3.303,710,Client_oriented,,Economics,USA,BachelorofArts,,NewYork,0,0,1981
114,2011,0,1,0,0,0,0,0,0,0,1,3.5409999,720,Investments,WASHINGTONUNIVERSITY,Finance,USA,BachelorofScience,,NewYork,1,0,1984
115,2011,0,0,0,0,0,0,0,0,1,1,3.1300001,660,Investments,CORNELLUNIVERSITY,OtherBusiness,USA,BachelorofScience,,NewYork,1,0,1978
116,2011,0,0,0,0,0,0,0,0,1,1,3.23,710,Investments,UNIVCALIFORNIALOSANGELES,Economics,USA,BachelorofArts,,California,0,0,1982
117,2011,0,0,0,0,0,0,0,0,1,1,3.3380001,620,Client_oriented,LEHIGHUNIVERSITY,Marketing,USA,BachelorofScience,,Connecticut,0,0,1984
118,2011,0,1,0,0,1,0,0,0,0,0,3.0350001,640,Others,UNIVERSITYVIRGINIA,English,USA,BachelorofArts,,NewYork,0,0,1980
119,2011,0,0,0,0,0,0,0,0,1,1,3.888,710,Others,SYRACUSEUNIVERSITY,Finance,USA,BachelorofScience,,NewYork,1,0,1982
120,2011,0,1,0,0,1,0,1,0,0,0,3.5899999,740,Others,UNIVERSITYVIRGINIA,Economics,USA,BachelorofArts,,Texas,0,0,1984
121,2011,0,0,0,0,0,0,0,0,1,1,3.1700001,720,Client_oriented,VANDERBILTUNIVERSITY,Mathematics,USA,BachelorofScience,,NewYork,0,0,1983
122,2011,0,0,0,0,0,0,0,0,1,1,3.0999999,700,Unknown,YESHIVAUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1982
123,2011,0,0,0,0,0,0,0,0,1,1,3.312,680,Investments,SWARTHMORECOLLEGE,ReligiousStudies,USA,BachelorofArts,,NewYork,0,0,1979
124,2011,0,0,0,0,0,0,0,0,1,1,3.4030001,670,Others,SWARTHMORECOLLEGE,Economics,USA,BachelorofArts,,Maryland,1,0,1982
125,2011,0,0,0,0,0,0,0,0,1,1,3.0239999,720,Investments,BERNARDMBARUCHCOLLEGE,Finance,USA,BachelorofBusinessAdministration,,NewYork,0,0,1981
126,2011,0,1,0,0,1,1,0,0,0,0,3.733,730,Client_oriented,UESTADUALDECAMPINAS,Engineering,Brazil,BachelorofScience,,ForeignCountry,1,1,1980
127,2011,0,0,0,0,0,0,0,0,1,1,3.5550001,670,Client_oriented,UNIVERSITYMINNESOTAMINNEAPOLIS,Marketing,USA,BachelorofScience,,NewYork,0,0,1983
128,2011,0,0,0,0,0,0,0,0,1,1,3.842,730,Investments,UNIVERSITYNOTREDAME,Economics,USA,BachelorofArts,,NewYork,1,0,1984
129,2011,0,0,0,0,0,0,0,0,1,1,3.348,710,Client_oriented,COLBYCOLLEGE,English,USA,BachelorofArts,,NewYork,0,0,1982
130,2011,0,0,0,0,0,0,0,0,1,1,3.723,770,Investments,HARVARDUNIVINSTINTRNT'LDEV,Economics,USA,BachelorofArts,,NewYork,1,0,1981
131,2011,0,0,0,0,0,0,0,0,1,1,3.8369999,770,Unknown,WASHINGTONUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1985
132,2011,0,0,0,0,0,0,0,0,1,1,3.493,650,Others,UNIVERSITYNORTHCAROLINA,Other,USA,BachelorofArts,,California,0,0,1982
133,2011,0,0,0,0,0,1,0,0,1,1,3.378,660,Client_oriented,GEORGETOWNUNIV,Economics,USA,BachelorofScience,,NewYork,0,0,1979
134,2011,0,0,0,0,0,0,0,0,1,1,3.1900001,700,Client_oriented,VIRGINIACMMNWLTHUNIVACADEMC,Economics,USA,BachelorofScience,,Virginia,1,0,1981
135,2011,0,0,0,0,0,0,0,0,1,1,3.3299999,710,Others,UNIVERSITYCALIFORNIABERKELEY,Economics,USA,BachelorofArts,,NewYork,0,0,1980
136,2011,0,0,0,0,0,0,0,0,1,1,3.303,720,Investments,NORTHWESTERNUNIVCHICAG,Engineering,USA,BachelorofScience,,NewYork,1,0,1980
137,2011,0,0,0,0,1,0,0,0,0,0,3.102,670,Investments,UIBERO-AMERICA,Economics,Mexico,BachelorofArts,,ForeignCountry,1,1,1980
138,2011,0,1,0,0,0,0,0,1,0,0,3.5780001,760,Others,UNIVERSITYCALIFORNIAIRVINE,ComputerScience,USA,BachelorofScience,,California,1,0,1983
139,2011,0,0,0,0,0,0,0,0,1,1,3.7639999,770,Others,HARVARDCOLLEGE,Economics,USA,BachelorofArts,,NewYork,1,0,1980
140,2011,0,0,0,0,0,0,0,0,1,1,3.7969999,710,Others,COLUMBIAUNIVERSITY,Engineering,USA,BachelorofScience,,NewYork,0,0,1983
141,2011,0,0,0,0,0,0,0,0,1,1,3.5780001,680,Investments,,Physics,Spain,,,ForeignCountry,0,1,1978
142,2011,0,0,0,0,0,0,0,0,1,1,2.9849999,640,Investments,,Economics,Taiwan,BachelorofArts,,ForeignCountry,0,1,1985
143,2011,0,1,1,0,0,0,0,0,0,0,3.727,710,Client_oriented,,Engineering,UnitedKingdom,Other,,ForeignCountry,1,1,1977
144,2011,0,0,0,0,0,0,0,0,1,1,3.148,730,Investments,NATLTAIWANUNIV,Finance,Taiwan,BachelorofBusinessAdministration,,ForeignCountry,1,1,1981
145,2011,0,0,0,0,0,0,0,0,1,1,2.9419999,620,Client_oriented,WESLEYANUNIVERSITY,ForeignLanguages,USA,BachelorofArts,,NewYork,0,0,1983
146,2011,0,0,0,0,0,0,0,0,1,1,3.467,770,Production,JOHNSHOPKINSUNIVERSITY,Economics,USA,BachelorofArts,,NewYork,1,0,1984
147,2011,0,1,0,0,0,0,0,0,0,0,3.1619999,680,Others,UNIVERSITYCALIFORNIABERKELEY,Economics,USA,BachelorofArts,,California,0,0,1982
148,2011,0,0,0,0,0,0,0,0,1,1,3.6099999,720,Others,HUNTERCOLLEGE,Chemistry,Israel,BachelorofArts,,NewYork,1,1,1978
149,2011,0,0,0,0,0,0,0,0,1,1,3.598,720,Investments,UNIVERSITYCALIFORNIABERKELEY,Economics,USA,BachelorofArts,,California,1,0,1980
150,2011,0,0,0,0,0,0,0,0,0,0,3.645,710,Client_oriented,TRINITYCOLLEGE,Economics,USA,BachelorofArts,,Massachusetts,1,0,1980
151,2011,0,0,0,0,0,0,0,0,1,1,3.5899999,690,Investments,BOSTONCOLLEGE,Mathematics,USA,BachelorofArts,,NewJersey,0,0,1983
152,2011,0,0,0,0,0,0,0,0,1,1,3.6930001,720,Unknown,UNIVCALIFORNIALOSANGELES,ComputerScience,USA,BachelorofScience,,California,1,0,1981
153,2011,0,0,0,0,0,0,0,0,1,1,3.3599999,720,Unknown,INDIANAUNIVERSITY,Finance,USA,BachelorofScience,,NewJersey,1,0,1981
154,2012,0,0,0,0,0,0,0,0,1,1,3.5109999,710,Client_oriented,YALEUNIVERSITY,Economics,USA,BachelorofArts,,Illinois,0,0,1984
155,2011,0,0,0,0,0,0,0,0,1,1,3.49,670,Client_oriented,UNITEDSTATESMILITARYACADEMY,Sociology,USA,BachelorofScience,,NewYork,1,0,1982
156,2011,0,0,0,0,0,0,0,0,1,1,3.6470001,770,Others,YALEUNIVERSITY,History,USA,BachelorofArts,,Pennsylvania,1,0,1983
157,2011,0,0,0,0,0,0,0,0,1,1,3.0899999,640,Investments,INSTTECAUTODEMEXICO(ITAM),Economics,Mexico,BachelorofScience,,ForeignCountry,1,1,1982
158,2011,0,0,0,0,0,0,0,0,1,1,3.2,730,Others,UNIVCALIFORNIALOSANGELES,Economics,USA,BachelorofArts,,California,1,0,1982
159,2011,0,0,0,0,0,0,0,0,1,1,3.2550001,680,Unknown,HARVARDCOLLEGE,Economics,USA,BachelorofArts,,Texas,0,0,1977
160,2011,0,1,0,0,1,0,0,0,0,0,3.29,710,Others,UNIVERSITYCALIFORNIABERKELEY,Economics,USA,BachelorofArts,,California,0,0,1982
